weather,road_type,time_of_day,vehicle_type,speed,distance,reaction_time,brake_eff,friction,mass,crash,impact_force
Sunny,Hilly,Day,SUV,11.49755481441397,145.41303324223702,0.5018288355685065,0.5993110331244623,0.6671994920061339,1554.1406009306088,0,0.0
Sunny,Highway,Day,Sedan,29.94320337109424,77.97510301976698,0.5018428721852595,0.8798040676477411,0.355111307865779,1324.1082586712484,1,676785.2857981946
Sunny,Hilly,Day,Sedan,38.927913967189966,41.93129449231148,0.508657857381998,0.962116048537252,0.6019285781519169,1390.1397409995964,1,1757393.319598352
Sunny,Hilly,Day,Sedan,32.223398873692354,5.552228796989821,0.5245761460744061,0.6819882481656203,0.6521707243785686,1118.3926119558948,1,1161280.0999172442
Sunny,City,Day,Truck,25.516386776013746,131.37987163948628,0.5245771645780668,0.5973324369343457,0.34656375623146524,2855.959272988538,1,492157.8119945737
Sunny,City,Day,Truck,39.46607067601006,86.81510760154327,0.5345387169550868,0.7080706018215107,0.6360399032620457,3074.2058523335045,1,3004926.353000767
Sunny,City,Day,Hatchback,10.40920245255359,209.7285022748417,0.5396259269180916,0.6623815960242271,0.6491950316091805,840.8304515757849,0,0.0
Sunny,Hilly,Day,Truck,35.565339104635044,154.38798401547248,0.5425353785122071,0.5480263460963597,0.4415385709944626,2634.651924463208,1,1644521.4501351144
Sunny,City,Day,SUV,37.82321653591269,166.0924048343821,0.5447669503678432,0.5655861018204487,0.5258420481415209,1975.179440329846,1,1150576.2559963842
Sunny,City,Day,Truck,29.443078539445416,168.32813851452957,0.5530054238997921,0.5826653700877182,0.32313098751949004,2690.598370076307,1,822811.1914897531
Sunny,Highway,Day,Sedan,35.10802455985772,80.00850937555718,0.5537996853171887,0.6706282622388504,0.8197577085004614,1456.5371561800032,1,844746.0522504107
Sunny,Hilly,Day,Truck,10.478067950758401,86.72221865089485,0.5573598321304098,0.686907574111397,0.3782573409763029,2949.55390037867,0,0.0
Sunny,City,Day,Hatchback,25.55770594983953,55.20943267210742,0.5619604821537092,1.0,0.7590409745448282,1079.7464172940238,1,49136.064594546304
Sunny,City,Day,SUV,19.573818027908324,17.808277738491455,0.5637621819359169,0.5711129667639872,0.8518798818500091,1587.4342304915624,1,505670.22921646584
Sunny,Hilly,Day,SUV,18.510397150045808,176.18614557647263,0.566780496031587,0.7114028686801503,0.567816184392436,1927.6580974639212,0,0.0
Sunny,City,Day,Truck,23.80035755919932,174.97418939273237,0.5668871326577842,0.6377734148801745,0.43873488327514903,2651.5952357573165,0,0.0
Sunny,Hilly,Day,SUV,21.42013345650786,199.47498635259277,0.5719663157357018,0.7635852412791094,0.42240812798165256,1835.9519588585335,0,0.0
Sunny,City,Day,SUV,39.03939467607593,127.6446299621633,0.5779517709909698,0.8451875411486905,0.8045913141272824,1878.2563213595365,1,231930.73516087054
Sunny,Highway,Day,Truck,13.99720788345057,61.86908542601559,0.579038454947318,0.6207032925841838,0.4401267732689259,2314.3592870338566,0,0.0
Icy,City,Day,SUV,23.096747233315455,186.64447083341628,0.5828244986574528,0.7622059949173658,0.35744472918899256,1585.1784811740017,0,0.0
Sunny,Highway,Day,Hatchback,12.298350272324962,32.2439172811025,0.5874388562757653,0.8689846997519803,0.4491916953512531,904.9002392644048,0,0.0
Sunny,City,Day,SUV,17.83420577617195,123.01509744881605,0.5880371246892317,0.8270556434421626,0.7570227613422031,1745.2541770422645,0,0.0
